,courseid,name,companyid,serialid,creditvalue,exam,publishdate,tags,visit,study,warenum,type,duration,page,label
1,1248,TRIZ简介,2,1,1.0,1,2017/5/31 0:00,"TRIZ简介 ,IE知识,IE,TRIZ,创新,改善",460358,84344,1.0,pdf,0.0,60.0,2
2,12142,诚功信途_管理篇,179,9,0.5,1,2019/4/15 10:13,"诚功信途、诚信、在职员工、2019,诚信,诚功信途",235942,76233,1.0,pdf,0.0,24.0,2
3,13291,四不伤害,402,9,0.0,0,2019/9/26 17:11,安全意识强化训练,116952,57686,1.0,mp4,229.0,0.0,2
4,12585,C次集团《提案&改善》,40,1,2.5,1,2019/6/5 9:33,工业工程 提案改善 IE,165540,52302,1.0,pdf,0.0,122.0,2
5,12714,心肺复苏术,402,9,0.0,1,2019/7/1 8:00,应急技能,245469,50938,1.0,mp4,293.0,0.0,2
6,3469,生产运作管理,2,1,8.5,1,2017/8/14 0:00,"生产运作管理,生产运作,需求预测,库存管理,供应链管理,生产计划",247960,45391,13.0,pdf,0.0,13.0,2
7,12186,SER知识普及宣导-员级,179,5,23.5,0,2019/4/23 13:47,2019 SER基础知识普及宣导&ISO27001资讯安全,205125,40082,13.0,pdf,0.0,110.0,2
8,582,C++游戏开发基础,2,3,14.5,1,2017/5/25 0:00,"C++,游戏,编程,IT,开发,语言",245414,39570,20.0,pdf,0.0,46.0,2
9,3269,电子线路基础,2,2,13.5,1,2017/8/7 0:00,"电子线路,集成电路,模拟电路,运算放大器,稳压电源,电子技术",202663,37919,9.0,pdf,0.0,72.0,2
10,1049,人资政策及SER之一,2,1,0.5,1,2017/5/27 0:00,"人资政策及SER,线组长,人资政策,SER,人力资源,人事行政",131518,32444,1.0,pdf,0.0,15.0,3
11,1068,人资政策及SER之二,2,1,1.0,1,2017/5/27 0:00,"人资政策及SER,线组长,人资政策,SER,人力资源,人事行政",114297,30828,1.0,pdf,0.0,39.0,3
12,1487,成人授课技巧,1,1,1.5,1,2017/6/2 0:00,"成人,授课技巧,提问",173488,30803,3.0,mp4,765.0,0.0,3
13,1074,人资政策及SER之三,2,1,0.5,1,2017/5/27 0:00,"人资政策及SER,线组长,人资政策,SER,人力资源,人事行政",111400,29034,1.0,pdf,0.0,26.0,3
14,12885,诚功信途普员篇-核心知识点,179,1,0.0,0,2019/7/24 15:21,诚功信途普员篇-核心知识点,101318,28571,1.0,pdf,0.0,1.0,3
15,9523,心生活新素养之文明素养,179,1,0.5,1,2018/5/25 0:00,文明素养,90410,27711,1.0,pdf,0.0,27.0,3
16,12534,iDPBG 太原 2019年SER知识普及宣导课件,179,9,2.0,1,2019/5/31 16:12,GEK,86712,26515,1.0,pdf,0.0,111.0,3
17,9552,ISO 27001 训练教材,179,1,1.5,1,2018/5/30 0:00,ISO,91563,26029,1.0,pdf,0.0,63.0,3
18,3479,成型工艺流程,2,2,1.5,1,2017/8/14 0:00,"人资培训,成型,工艺,流程,注塑,参数",92967,25165,1.0,pdf,0.0,67.0,3
19,924,IE七大手法之防呆法,2,1,1.0,1,2017/5/27 0:00,"IE,手法,防呆,流程",92030,25131,1.0,pdf,0.0,36.0,3
20,12536,iDPBG 太原 2019年心生活 新素养在职训练,179,9,0.5,1,2019/5/31 16:33,GEK,62731,23684,1.0,pdf,0.0,27.0,3
21,2692,Java程序开发,2,3,5.5,1,2017/7/26 0:00,"JAVA,java,程序开发,数据,开发环境,语言",121572,23660,9.0,pdf,0.0,17.0,3
22,1832,工作职责,2,1,0.5,1,2017/6/12 0:00,"工作职责,线组长,现场管理,生产管理,线组长培训,日常行为规范",111560,23300,1.0,pdf,0.0,16.0,3
23,13004,『诚行』系列微课之真正的友谊,179,1,0.0,1,2019/8/14 16:15,诚以为本 学做真人 以诚为荣 以虚为耻,74011,22177,1.0,mp4,106.0,0.0,3
24,3482,冲压工艺流程简介,2,2,1.0,1,2017/8/14 0:00,"人资培训,冲压,工艺,流程,设计,参数",77917,21464,1.0,pdf,0.0,47.0,3
25,2702,工业安全与职业健康,2,1,3.0,1,2017/7/26 0:00,"工业安全与职业健康,工业安全,职业健康,新人训,安全防护,安全隐患",117089,21322,4.0,pdf,0.0,90.0,3
26,994,提案改善,2,1,0.5,1,2017/5/27 0:00,"提案改善,IE,IE知识,提案,主管培训,改善",69792,21175,1.0,pdf,0.0,24.0,3
27,13001,『诚行』系列微课之诚信考试,179,1,0.0,1,2019/8/14 15:44,"诚以为本,学做真人,以诚为荣,以虚为耻",61851,21127,1.0,mp4,116.0,0.0,3
28,2072,目标设定与有效规划,2,5,4.0,1,2017/6/22 0:00,"目标,管理,规划,设定",149001,21040,8.0,mp4,766.0,0.0,3
29,6870,当最好的员工,334,5,2.0,1,2017/12/5 0:00,"职场提升,职场素质,职场素养,主动,务实,忠诚",105485,20784,6.0,mp4,369.0,0.0,3
30,1710,现场8S,2,1,1.0,1,2017/6/7 0:00,"现场8S,8S,5S,新人训,现场改善,现场整理",68823,20693,1.0,pdf,0.0,40.0,3
31,13656,生命没有彩排-交通安全教育警示片,479,1,0.5,0,2019/12/18 9:02,"交通安全,生命没有彩排,交通安全教育警示片",43930,20483,1.0,mp4,494.0,0.0,3
32,2848,高效沟通技巧,2,1,1.5,1,2017/7/28 0:00,"人资培训,沟通,技巧,团队,语言,分析",65187,20351,1.0,pdf,0.0,69.0,3
33,13002,『诚行』系列微课之一诺千金,179,1,0.0,1,2019/8/14 15:57,"诚以为本,学做真人,以诚为荣,以虚为耻",56184,20139,1.0,mp4,131.0,0.0,3
34,595,iOS入门班课程,2,3,1.5,1,2017/5/25 0:00,"Block,Block定义,Block定义格式,Sorltarray",90929,20067,8.0,pdf,0.0,7.0,3
35,4965,绩效管理（绩效管理）,2,1,8.0,1,2017/9/19 0:00,"绩效管理,绩效考核,目标管理,人力资源,360度考核,平衡记分卡",165922,19909,13.0,mp4,837.0,0.0,3
36,13870,制造处疫情防控管理要求,276,9,0.5,1,2020/2/22 14:30,【四同】专案、复工宝典,154409,19853,8.0,mp4,346.0,0.0,3
37,13000,『诚行』系列微课之诚信生产,179,1,0.0,1,2019/8/14 15:02,"诚以为本,学做真人,以诚为荣,以虚为耻",51816,19675,1.0,mp4,202.0,0.0,3
38,3617,硬度测试,2,2,0.5,1,2017/8/21 0:00,"师级干部,机构,硬度,测试,步骤,校正",71310,19595,1.0,pdf,0.0,17.0,3
39,13861,新冠肺炎防疫知识,276,9,2.0,1,2020/2/22 13:52,防疫知识手册,154204,19587,3.0,mp4,1850.0,0.0,3
40,12333,提案&改善,2,1,2.0,0,2019/5/11 12:41,"工业工程,提案,改善,IE",79557,19562,1.0,pdf,0.0,120.0,3
41,13790,“新冠肺炎”防范知识（必修）,138,1,1.0,1,2020/2/11 16:09,"肺炎,防范知识,必修",155905,19224,3.0,mp4,375.0,0.0,3
42,2605,早安富士康专辑01号,2,8,4.5,1,2017/7/24 0:00,"早安富士康,美食,生活技能,富士康,健康,养生",72568,19182,5.0,pdf,0.0,34.0,3
